incoming,text
"""You only did what you had to.""","""I guess so. Still. I wish things could have been different.""\n\nYou sip your drinks without another word until it's time to go. The cabbie takes you home first.\n\n""Julia,"" Strauss says. ""Take care, okay?""\n\n1. [[""Thanks, doc.""]]\n2. [[""I will.""]]"
"""I didn't.""","""If it’s not dead, we’re fucked. All we got left is your pistol. I’m guessing you’re down to two clips.""\n\nYou pop the clip out of your pistol to show him it’s the last one.\n\n""Shit.""\n\n""We don’t know if it’s alive. If it is, we’ll improvise.""\n\n""Great, I wonder who’ll die next time thanks to our masterful improvisation abilities.""\n\nStrauss says nothing. \n\nA few minutes later you reach the cockpit door. Ben’s body is still there, as are the burnt remains of the captain.\n\n""Well, that’s good, all things considered,"" says Meat. You notice that Strauss is deliberately looking away from Ben’s smashed skull.\n\nThe three of you step into the cockpit. You slam the door behind you.\n\n""Here’s the computer.""\n\nYou step over to the main console. A password screen greets you. You type in ""KONAMI.""\n\nThe screen changes to a selection of menus.\n\n""There’s the autopilot,"" says Strauss. She touches the screen and selects NEW AUSTIN.""\n\n""We done?"" Meat asks.\n\n""Yeah, I think we’re set.""\n\n""Good.""\n\nAll of you approach the door.\n\n""Now let’s get out of here before that fucking thing corn—"" \n\nA tentacle sweeps through the door as soon as it opens and brushes all of you aside with a mighty swing. You all going flying across the room. You slam into the viewport, cracking the glass, and then fall to the floor. Looking up, you see the thing step into view: it’s monstrous, with a muscular human abdomen. \n\nThe monster's face is distinctly unhuman with countless slitted eyes glaring at you. The monster’s mouth is a vortex of meat and sharp teeth. Four tentacles protrude from its back, each one moving like a rattlesnake.\n\n""No!"" you hear Strauss scream as one of the tentacles darts out and wraps itself around her neck.  It lifts her into the air and pulls her toward its master. You turn to look at Meat who’s paralyzed with fear, watching one of the tentacles dance above him.\n\nYou reach for your pistol.\n\n1. [[Save Meat.]]\n2. [[Save Strauss.]]\n3. [[Save yourself.]]\n"
"Draw it out.","""Okay, with what?"" Neil asks.\n\nThere’s a moment of silence as you, Meat, and Strauss turn to look at Neil. \n\n""Oh,"" he says, getting it. ""Well fuck that.""\n\n1.[[""Don’t be a baby.""]]\n2.[[""We could just knock you out.""]]\n\n\n"
"""Something happened, huh?""","""The infection spread,"" Strauss explains.\n\n""What fucking infection?"" Meat interjects.\n\nStrauss turns her cold gaze onto him. ""I don’t know precisely what is in her body, Travis. What I do know is that once I amputated her arm, it lunged at my throat.""\n\n""Bullshit.""\n\n""No, it’s…it’s…true,"" Ben stammers. ""It’s over there. Look.""\n\nThere, lying on the ground, is an arm with shriveled fingers caked in yellow ooze. You can barely make out three bullet holes.\n\n""Lenore says that Ben saved her life by putting it down,"" Salvucci explains.\n\n1.[[""What about Markie?""]]\n2.[[""Nice job, shrimp. Didn't think you had it in you.""]]"
"""Nobody could have predicted that.""","He doesn't meet your eyes and offers no reply.\n\n""He gave you a password, right?"" Strauss says. ""Maybe there’s an autopilot sequence on his computer.""\n\n""Doesn’t do us any good if that thing is still stomping around.""\n\n""Do you really think it survived that blast?""\n\n""Is that a serious question?""\n\n""Either way, we need to get the ship moving. Let’s get to the cockpit and decide what to do there.""\n\nYou make your way toward the cockpit. About halfway there, Meat speaks. ""What was it doing when it killed Neil?""\n\n""Evolving,"" Strauss answers.\n\n""Did you get a good look at it?"" Meat asks.\n\n1.[[""I didn't.""]]\n2.[[""It had a lot of tentacles.""]]\n"
"Shoot Markie.","""Here’s what we’re going to do,"" Salvucci starts. \n\nThe sudden discharge of your pistol cuts him off. The first two rounds shatter the quarantine glass. You approach the cube. \n\nSomeone—Meat perhaps?—is shouting something, but it’s too late. You're raising your gun, leveling it at Markie’s head. She looks up at you, uncomprehending.\n\nYou fire once. A mixture of red and yellow liquid spills out of the back of her head as her body crumples. The smell is excruciating. You gag. And that’s when Meat smashes the butt of his rifle into your face.\n\nYou black out.\n\nYou wake up two months later in a prison cell where Salvucci, with a mixture of sympathy and disgust hiding behind his blue eyes, explains how they put you in cryo sleep for the rest of the journey home and how now you will be brought before a military tribunal for the murder of your crewmember.\n\nHe refuses to listen when you try to explain your actions and offers you only one comfort before leaving: he hears your lawyer is pretty damn good.\n\nAnd she is. She’s a looker and has a brain to match. She manages to convince the court that you committed, not murder, but manslaughter out of concern for your crew. You serve five years at Titan penitentiary and earn the good will of the prisoner population by teaching them science and mathematics, and regaling them with stories of your travels.\n\nUpon release, you can’t find a job teaching at any of the universities on Mars or even the terraformed moons. Finally, a desperate temp agency takes a chance on you and you end up working as a secretary for an accounting office in New Memphis. They eventually hire you full-time and, despite being miserable, you never look for another job out of fear of rejection.\n\nEventually you get lonely and give Meat a call, hoping to reconcile. He’s not there. You leave a message, but he never calls back. You have night terrors and imagine Markie’s face, her yellow eyes, staring at you from the darkness. \n\nWhen you were younger, you told yourself you’d never be a cat lady, so you become a lizard lady instead. Most of your free time and fun money are dedicated to purchasing and raising as many types of reptiles as possible. The chameleon Toro is your prized pet.\n\nFinally, some fifty years after you killed Markie, you begin to feel life slip away from you. You’re not sure if it’s disease or depression or some form of universal comeuppance, but you let yourself go piece by piece. However, you’re defiant all the way to the end. ""I did the right thing,"" you mutter to yourself. ""I saved lives."" \n\nSoon you fall into eternal rest. Your lizards are not far behind.\n\nThe End\n"
"""It might be Ben.""","""Even better,"" Meat says grimly.\n\n""Let’s just shut down the computer,"" Neil says.\n\n""It’s your computer. After you, your majesty.""\n\n""Oh no, you’ve got the gun. You go first. Please, I insist.""\n\nMeat grumbles as he steps past Neil and peers into the room. You see him flip on the light attached to the rifle.\n\n""See anything?""\n\n""No, but it’s dark. There’s shattered glass on the floor—probably the lights."" He creeps into the room slowly. \n\nYou and Neil follow.\n\nRemember me to the one who lives there…\n \nThe room is pitch black except for the light coming from the computer terminal next to Neil’s bed. The computer, a custom built powerhouse, sits on the floor and is connected to an obnoxiously large, wall-mounted flat screen. On the screen, you see a music library. Meat flashes his light across the floor. There’s at least 11 or 12 footsteps separating you and the terminal, a no-man’s land of shattered glass and possible traps.\n\n""Well,"" Neil says after a moment. ""I guess one of us should cross—""\n\nGunfire cuts off Neil’s sentence as Meat fires three rounds into the terminal. The music dies abruptly.\n\n""Are you fucking kidding me?!""  Neil erupts. ""That was two months worth of pay! It was like, the ultimate fucking entertainment system!""\n\nYou can’t make out Meat’s expression in the dark but you can tell he’s not in the mood to deal with Neil’s shit. ""Listen, if we get out of this alive, I’ll buy you a new toy, okay?""\n\n""It was brand new!""\n\n""Shut up. Did you hear that?""\n\nYou listen. You hear nothing, not the crackling of glass, or an insidious snicker. \n\n""Let’s go,"" says Meat. You all turn, and, of course, there she is, standing next to the door.\n\nNeil gasps in horror. Markie smiles at all of you, the hallway light shining on her face to reveal rotting flesh and a dangling eyeball. Her arm stump oozes yellow.\n\nMeat raises his rifle, but he’s too slow. She slams the door.\n\nYou’re locked in here with her.\n\n1. [[ Pull out your pistol and fire blindly.]]\n2. [[Panic and run.]]\n\n\n\n"
"""It's trying to scare us.""","""Well, we’re about to put an end to that shit,"" Meat says as you approach the crew’s quarters. You see large cables running through the doorway; they lead up the wall and into the ceiling.\n\nNeil reaches up and runs his hand along the cables. He quickly pulls it back. ""Augh! Fuck!""\n\n""What is it?"" Meat barks.\n\n""Nothing,"" Neil says, regaining his composure. ""Just fucking slime. Oh god, gag a maggot,"" he says. ""This shit reeks."" He holds his hand up to the light to reveal a goopy, transparent liquid.\n\n""Hey, that looks a little bit like—""\n\n""Don’t you say it, Travis.""\n\nYou examine the cables without touching them.\n\nMeat takes a look as well. ""Seems like a complicated operation.""\n\n""What, turning on the computer, starting a program, and plugging in some cables?""\n\nMeat turns. ""You didn’t see how feral this thing was—not to mention she’s missing a goddamn arm.""\n\n1.[[""Could be Ben.""]]\n"
"""Yeah. I understand.""","""Good. Give me your gun and turn the gas on before you leave.""\n\n""There’s no way out except through the front.""\n\n""Vent,"" he says, pointing at a vent near one of the stoves. ""…Gotta crawl fast. I’ll give you as much time as I can.""\n\nA clanging at the door. Whatever was inside Markie is now trying to get in the kitchen.\n\n""This ain’t fucking right, man. It’s not right at all.""\n\n""Just give me your damn gun, dude."" He coughs. Meat, with reluctance, takes the pistol from his holster and sticks it in Neil’s hand. \n\nStrauss quickly turns on all the gas stoves in the room.\n\nAnother bang at the door. The tip of a tentacle pierces the door and writhes wildly about, slapping a nearby wall.\n\n""Go,"" Neil says, fighting to stay conscious.\n\n1.[[""We fucked things up for you. I'm sorry.""]]\n2. [[Say nothing to him. Leave.]]"
"""Deal.""","""Seriously though, I wonder if we’ll find anything down here.  I still think it’s erosion. I mean, sure, these tunnels are uh pretty deep, I guess, but erosion can do that, right? Erosion. Yeah.""\n\nYou continue on, the darkness before you disappearing to reveal only more darkness. Your suit tells you that ten minutes have passed, but it feels like an age. Ryan’s chatter isn’t helping.\n\n""Hey, has Markie talked you about me at all? Actually, better question: do you know if she’s dating anyone? I mean, back on Mars.""\n\n1.\t[[""I don’t know.""]]\n2.\t[[""I don’t know, you fucking horndog.""]]\n3.\t[[""Grow some balls and ask her yourself.""]]\n"
