"""She’s toying with us.""","""She’s doing a hell of a job of it, then. Almost made me shit myself.""\n\n""Julia! Neil! Anyone!"" Your walkie comes to life; it’s Strauss, her voice filled with panic.\n\nYou pull the walkie off your belt loop.\n\n""Please help us!"" Strauss cries. ""The captain keeps shooting but it’s not doin—oh god.""\n\nNeil looks at you in horror. You click the button on side the side of the talkie. You say:\n\n1.[[""Hold on, Doc. We’re coming!""]]\n2.[[""Serves you right.""]]\n3. [[Say nothing; give the walkie to Meat.]]\n\n"
"Pair off with Meat.","""I'll go with Sergeant Can't Keep It In His Pants, then.""\n\n""Hey!""\n\n""We'll hike down the wall and take our respective tunnels. You guys have that one on the right over there. See it?"" she asks, pointing.\n\n""Yeah,"" Meat says. ""On it.""\n\n1. [[""This is a plan I'm not crazy about.""]]\n2.\t[[""Roger, roger.""]]"
"Wait it out.","You decide to wait it out, see if you're not infected. Too bad you killed the only guy who had access to the autopilot controls. You can't even send a distress beacon now.\n\nThat's when you notice a wetness on your cheek. You touch it with your finger and pull back blood.\n\nYou're infected. However, you can't bring yourself to eat a bullet. You've been through too much. You decide to ride it out, see what happens.\n\nNothing good. Your fingernails fall off first. Then you start vomiting and shitting blood. Your teeth are next. At this point you decide that killing yourself is the best course of action, but you go blind before you can find your gun.\n\nDays pass like this, with you lying on the floor, begging for death, unable to see anything. Finally, you feel a movement in your chest. A tremor.\n\nAnd then you feel nothing at all.\n\nThe End.\n"
"""Don't get yourself killed, doc.""","""Will try,"" she says and then takes off running, screaming her head off.\n\n""Five minutes,""  Salvucci says. ""That's all we give her.""\nMeat nods. Her footsteps (and screams) trail away. \n\nAfter three minutes, Salvucci says ""She's had enough time. Let's go.""\n\nThe three of you run down the hall to sickbay. She's inside, screwing a hose onto a black machine of some sort. She looks up. ""I told you to give me mor--""\n\nShe's interrupted by Markie's descent from the ventilation shaft onto the examination table. She growls at all of you. A giant purple claw has sprouted out of her missing arm. The other arm is rotting, like the rest of her body.\n\n""Prettyprettyprettypretty.""\n\nOut of the corner of your eye, you see the cauterizing saw on the table next to the bed. \n\n1. [[Attack with the saw.]]\n2. [[Attack with your gun.]]"
"""Don’t be a baby.""","""Easy for you to say, Julia. You’re not the one who’s being served up as dinner.""\n\nMeat slaps Neil on the shoulder. ""We won’t let you get eaten. It's gotta be you, man. You’re the tiniest one—the easiest prey, see?""\n\n""You’re not making this any more appealing.""\n\n""We can’t make him do this,"" Strauss interjects, finally saying something.\n\n""When the hell did you grow a conscience?"" Meat growls.\n\n""I did what I did for the sake of survival. There were no other options. There are other options here. We just need to think rationally.""\n\n""Well,"" Meat says. ""I’m waiting, doctor.""\n\n""No,"" Neil says. ""I’ll do it.""\n\nYou turn to Neil.\n\n1.[[""You sure?""]]\n2.[[""Atta boy.""]]\n\n"
"Run into the kitchen.","You fire several rounds as well, tearing off her other arm. Still, the body convulses. You watch as Neil turns to run to the kitchen. He’s a foot away from the door when a grey tentacle shoots out of the body’s back and impales him through the chest. It whirls him about and throws him through the kitchen door.\n\n""Fuck it, run! Run!"" Meat yells. He drops the rifle and runs into the kitchen. You aren’t far behind, jumping over a low slash from the tentacle. Right before you step inside, you see another writhing tentacle erupt from her body.\n\nYou slam the door and turn around. Strauss and Meat are looking over the bloody hole in Neil’s chest. Blood is dripping from the corner of Neil’s mouth. You hear another stretching sound follow by a splash outside. Another tentacle.\n\n""Fuck me, fuck fuck fuck,"" Meat says, his voice dripping with guilt. ""I’m so sorry.""\n\nNeil looks up at him. ""Not your fault, big man. Wasn’t fast enough…""\n\n""Stop talking, sweetie,"" Strauss says, taking you by surprise with the earnest care in her voice as she examines the wound. ""An artery’s been pierced.""\n\n""Shit, is there anything you can do for him?""\n\nStrauss looks at you both, clearly not wanting to give her answer in front of Neil. You feel a tap on your arm. Neil looks up at you.\n\n""Zoe, come here.""\n\nYou lean down.\n\n""Cockpit. Computer login is…"" he coughs up some blood. ""login is ‘K-O-N-A-M-I. Got it?""\n\n1.[[""Yeah. I understand.""]]"
"""Sleep tight, bitches.""","You slide into your chamber and the hatch closes. You quickly fall into slumber. When you wake up, you're surounded by soldiers. One of them, a corporal, is saying something but his words are soundless. He takes you by the arm and guides you up from the pod.\n\nFrom there, you, the captain, and Meat are transported to the military outpost in New Austin. You are all given private rooms and access to nearly anything you could want. You order a steak on the first night and it's delicious.\n\nJust as Meat said, men in suits come and interview you about your experiences on the Speedwell. You answer their questions in as much detail as you can. They thank you for your time and promise you will be released soon.\n\n""Soon"" turns out to be three days later. You, Meat, and Salvucci meet on the base and request a transport to the nearest bar. There, you all drink in almost complete silence, only uttering the names of the lost from time to time.\n\nYou all take seperate cabs home. When you reach your house in the suburbs, you pass your mailbox but decide to check it later. It's only when you swipe your card against the door's reader and hear it unlock that you feel as though you are truly safe. Inside, you shut the door and hang up your coat.\n\nYou go into the living room and sit on the couch. You do nothing but stare at the wall for hours, in a trance of sorts. You rub you finger up and down one of the cushions of your couch. You are alive to do this, but you're not sure you're thankful for that.\n\nYou begin to see a therapist. You make progress--according to him, anyway. You never really shake the memories of your time aboard the Speedwell, but you're able to cope with them.\n\nThat's more than can be said for Captain Salvucci, who eats a bullet on the third anniversary of your return to Mars. \n\nYou don't go to the funeral.\n\nYou and Meat stay in contact but the emails you send one another are largely bullshit. Your failure to connect with him is indicative of your relationship with the rest of humankind. You never marry or even begin what you're comfortable calling a relationship with anyone. For the first ten years or so, this bothers you but you slowly grow comfortable with this new you.\n\nYou become a writer. Your sci-fi espionage novels sell well enough for you to live comfortably by yourself and away from everyone. You're mostly happy but sometimes there's a thought strikes you like the lash of a whip.\n\nYou are alone.\n\nThe End\n\n\n\n\n"
"""Hang on! We're on the way.""","""Please hurry,"" she begs. ""We’re in the cockpit.""\n\n""Hustle people,"" Meat says, breaking out into a sprint.\n\nYou and Neil follow. \n\nYou keep an eye out for Markie, but, thankfully, she never exploits your panic. When you reach the bend before the cockpit, Meat slows down and raises his hand for you to stop. You do so and listen. Just out of sight, you can hear something cracking.\n\nMeat steps out of the corner, and his face goes pale. You and Neil join him, your pistol raised in the direction of the cockpit. There, covered in red and yellow grime, his back to you, is Ben biting into Salvucci’s leg and tearing away flesh and muscle. Salvucci is against the cockpit’s door, either unconscious or dead. Blood trickles from his forehead. A crowbar is on the ground next to him.\n\nMeat aims down the sight and breathes hard.\n\n""Conserve the ammo,"" Neil says.\n\nMeat gently tugs the trigger. A round slams into Ben’s neck; the creature masquerading in your crewmate’s skin whirls around and slams into the wall. It hisses and stands up. What was once Ben’s youthful face glares at you. The thing takes a step forward.\n\nMeat fires another two shots that slam into its chest. Ben is knocked back, but he recovers quickly, taking another step toward you. And then another. He’s closing in.\n\n""Well don’t just stand there—shoot him!""\n\nYou aim down the sight of your pistol.\n\n1. [[Pull the trigger.]]"
"""Dude, stop talking.""","""Hey, fuck you. I’ve been cooped up in that room this whole time. Forgive me for being a little curious about why everything around me is going to hell.""\n\nThe three of you say nothing for the rest of the walk, but you can’t shake the feeling that Neil is angry at you.\n\nWhen you reach the sickbay, it’s deserted.\n\n""I suppose those fools are still out looking for it...or they’re dead.""\n\n""Holy shit,"" Neil says, approaching the puddle of gore in the center of the room. He stands there, gazing down at it. \n\nYou lean against the wall and take a seat, but your pistol remains in your hand. \n\n""Meat and the captain aren’t really dead, are they?""\n\n1.[[""No. Of course not.""]]\n2.[[""Who knows?""]]\n3.[[""Yeah, they’re food.""]]\n"
"Run into the kitchen!","You watch as Neil turns to run to the kitchen. He’s a foot away from the door when a grey tentacle shoots out of the body’s back and impales him through the chest. It whirls him about and throws him through the kitchen door.\n\n""Fuck it, run! Run!"" Meat yells. He drops the rifle and darts into the kitchen. You aren’t far behind, jumping over a low slash from the tentacle. Right before you step inside, you see another writhing tentacle erupt from her body.\n\nYou slam the door and turn around. Meat is looking over the bloody hole in Neil’s chest. Blood is dripping from the corner of Neil’s mouth. You hear another stretching sound follow by a splash outside. Another tentacle.\n\n""Fuck me, fuck fuck fuck,"" Meat says, his voice dripping with guilt. ""I’m so sorry.""\n\nNeil looks up at him. ""Not your fault, big man. Wasn’t fast enough…""\n\nHis wound looks deep.\n\nHe turns to you. ""Julia…Julia, come here.""\n\nYou lean down.\n\n""Cockpit. Computer login is…"" he coughs up some blood. ""Login is ‘K-O-N-A-M-I. Got it?""\n\n1.[[""Yes, I understand.""]]\n\n"
