incoming,text
"StoryTitle","The Terror Aboard The Speedwell"
"""She was infected.""","The man seems doubtful of your lie, but he has no evidence to contradict it.\n\nWithin three days, you're free to leave the military base. \n\nYou return to your home in the suburbs and pour yourself a drink from the unopened bottle of whiskey in your cabinet. In spite of recent events, you feel...good. \n\nNot only did you survive horrific setup ripped from a bad horror movie...you killed someone and got away it. You feel a buzz.\n\nYou got away with murder.\n\nAnd thus begins your reign as Mars' most renowned serial killer. Drunks staggering away from the bar and the homeless are your victims. Your weapon of choice? A scalpel. Each kill fills you with a kind of energy you've never known. The news says you're doing it because you're religious or you play video games or you have sexual fantasies about your mother.\n\nYou have no delusions. You just like killing people. \n\nThe cops finally get you on the sixteenth murder. Turns out the poor bum you stabbed was undercover. You see the flash of red and blue as soon as you penetrate the poor officer's throat. You run, not even bothering to retrieve the scalpel jutting from his trachea.\n\nYou don't get very far. The sniper's bullet shatters your sternum, sending bone fragments into your heart. You're already dying when you hit the ground.\n\nAs police officers gather to get a good look at you, all you can do is wonder what they'll say about you on the morning news.\n\nThe End\n"
"Say nothing and leave.","You hear him call your name as you turn and sprint down the hall.\n\nFool, it says. I offered you evolution, wretch.\n\nBlood drips from your nose. There's a pain in your stomach. You have to hurry.\n\nYou reach the hanger within a minute and seal the door behind you. \n\nYou approach the hanger door and place your hand over the release button. Your legs go numb and you fall to the floor, hand still held against the button. You press it and close your eyes. There's a whoosing sound as air is sucked past you, stinging your cheeks.\n\nThe first thing you feel is the cold. You open your eyes to see the Speedwell in all its glory as you drift away. The thing in your brain screams in anger and despair, but another voice cuts through. ""Just let go,"" Markie says, her voice free of malice and madness.\n\nYou turn away from your ship and peer out across the ocean of stars to gaze at what you think is the sun in the far distance. It's quite pleasant from afar.\n\nYou take her advice.\n\nThe End\n\n"
"""It's pretty funny, you saying that, when you were ready to pull her down a couple of hours ago. Just sayin'""","You see hurt flash across Strauss' eyes.\n\n""Zoe,"" Salvucci says sharply.\n\n""No, it's okay,"" Strauss says. ""They were friends, except your friend's dead, Zoe. That thing out there isn't Markie anymore. I just hope you realize that and don't get us killed,"" she says turning away from you.\n\nThe two of them descend into uncomfortable silence; Strauss looking at her feet, Salvucci at the viewport. You feel awkward standing there, so you wander away.\n\n1.[[Take a nap.]]"
"""Suck it up, Neil. Cry later.""","He doesn't seem to hear your harsh comment. ""Fuck. Guys, I have to tell his parents.""\n\n""Worry about that later,"" says Salvucci. ""Right now we need to—""\n\nThe alarm wails through the halls. Salvucci turns to Meat. What’s left of the color in Meat’s face drains as he gazes at the control panel.\n\n""Contamination in sickbay. Quarantine square’s been broken.""\n\n""What’s going on?""\n\nSalvucci is quick. ""Neil, you stay here. We’ll lock you in so you’re protected. You two come with me. Arm yourselves.""\n\nMeat grabs his rifle, and the three of you are out of the cockpit. Right before the metallic door slides shut, you hear Neil say ""protected from what?""\n\n1. [[Head to sickbay.]]"
"Refrain from doing anything.","""Fuck. Guys, I have to tell his parents.""\n\n""Worry about that later,"" says Salvucci. ""Right now we need to—""\n\nThe alarm wails through the halls. Salvucci turns to Meat. What’s left of the color in Meat’s face drains as he gazes at the control panel.\n\n""Contamination in sickbay. Quarantine square’s been broken.""\n\n""What’s going on?""\n\nSalvucci is quick. ""Neil, you stay here. We’ll lock you in so you’re protected. You two come with me. Arm yourselves.""\n\nMeat grabs his rifle, and the three of you are out of the cockpit. Right before the door slides shut, you hear Neil say ""protected from what?""\n\n1. [[Go to sickbay.]]"
"""We did our best.""","He sighs. ""I want to believe you, but...nevermind. What now?""\n\n1.[[""We sleep.""]]"
"""It ain't your fault.""","""They're all dead because of me,"" he says quietly. ""I've never had people die under my command before. It's a strange feeling.""\n\n1.[[""Ben isn't on you.""]]\n2.[[""Let it go. I need you here and focused. We all do.""]]"
"Let ‘em burn.","You follow Salvucci as he leaves the room. Before you step out you turn to Meat. His face is pale.\n\n1.[[""Good luck.""]]\n2.[[""Be careful.""]]\n3.[[""You sick fuck.""]]\n"
"Run. Now.","You fire several shots into the sea of creatures and even kill a few, but they still surge toward you.\n\n""What are you doing? Run!""\n\nYou both retreat. ""Neil,"" Meat yells over the comm. ""Bring the Speedwell to the LZ. We need some fucking help here.""\n\n""Coming as fast I can,"" you hear Neil say.\n\nYou run and run and run. You surge ahead of Markie and lose feeling in your legs, but somehow you keep going full speed anyway. Near the end, you swear that your heart is going to burst and that your lungs will catch on fire, but eventually you stumble out of the tunnel into the irradiated light of dusk.\n\nAcross the way, you see Meat running. Ryan is nowhere to be found. You’ve covered half the distance to Meat when, looking up, you see the Speedwell beginning its descent.\n\nYou're almost to him when you hear Markie scream. Turning, you watch her fling one of the crab creatures across the ground.\n\n""Fuck!"" she yells.\n\nMeat blasts the creature into pieces.The two of you rush over to her. She's holding her arm.\n\n""It got me,"" she says; you detect fear in her voice. She turns to Meat.\n\n""Where's Ryan?""\n\n""Goddamn fucking thing ate him. It ATE him.""\n\nMeat's answer fills you with dread. No one that close to you has ever died before. Your vision becomes unfocused. A slap on the arm brings you back.\n\n""We've got company, Zoe. I need you here and now,"" Meat says, nodding at the mouth of the cave where the crab creatures are gathering. There must be thousands of them. Luckily, behind you, you hear the Speedwell land.\n\nMeat fires several shots at the crabs, but they don't seem to be leaving the cave anyway.\n\nYou and Meat help Markie to the ship’s elevator. Meat enters a combination on the keypad and the door slides open. Inside the elevator, as you ride up, all three of you remove your helmets. You notice for the first time that your face is drenched in sweat.\n\nA ding. The door opens. Captain Jonas Salvucci, an older, muscular man with little patience of tomfoolery, awaits you—-his hand wrapped around the pistol in his holster. He takes his hand away from the gun when he sees there’s no threat.\n\n""Get her to sickbay.""\n\nYou nod and help Markie through the hallway of the ship. Behind you, you can hear Salvucci interrogating Meat.\n\n""What happened to Ryan?""\n\n""He's dead, cap. Something got him.""\n\n""Hell, Travis. What did you find down there?""\n\nWhen you get to sickbay, both Lenore Strauss, the doctor, and her geeky assistant Ben are prepping the examination table.\n\n""Where’s she wounded?"" Lenore asks, as you help a woozy Markie out of her suit. You glare at Ben as he gawks at her well-toned body. He smiles sheepishly and looks away, cheeks burning red with shame. Markie’s drenched in sweat; she stares around wildly while Lenore straps her in. She examines the bite: it’s just above the elbow, an inflamed bulging of the skin.\n\n""And I was young and we were running,"" Markie rambles, ""eyes bouncing up and down the shore while the sun cooked the corpses of washed up jellyfish.""\n\nYou turn to Lenore, who’s prepping some kind of tool.\n\n1.[[""What the hell is she saying?""]]"
"""I'm fine. Stop asking.""","He looks away sheepishly. ""Sorry.""\n\n""Stop trying to hit that, Ryan. It’s not gonna happen,"" says Markie, the Speedwell's science officer.\n\nRyan waves his hands dismissively. The enforcer of the group, Meat, chuckles. ""She told you.""\n\n1. [[Wink at Markie in appreciation.]]"
"""Move past it or more people are going to die.""","He nods. ""You're right. Need to focus on the task at hand. What do you think it is you found on earth?""  \n\n1.[[""Cthulhu?""]]\n2.[[""No clue.""]]\n"
"Eat him.","You take your knife and slowly cut up Meat's body. It's messy work, dividing the flesh and muscle from the bone. You store the body in various bags that are then stuffed into the freezer.\n\nYou stay alive another week, but the ships never come. The will to live finally leaves you; you lay down on the floor and close your eyes. You would cry if you had the strength.\n\nThe last thing you feel is the cold of the metal floor leaving your cheek.\n\nThe End\n\n"
"""It was tempting.""","""Right? She's awful. No doubt about it.""\n\nThe two of you enter the cafeteria and then, after taking a precautionary look around, you go into the kitchen and begin to stuff everything you can get your hands on into the two bags you brought from sickbay: fruit chips, soda, water bottles, pastries, canned soup.\n\nWhen you’ve filled the bags, you leave the cafeteria and make your way to the common room. Strauss, Neil, and Salvucci are waiting. The common room is a circular room with a couch, several chairs, and a large wall-mounted monitor connected a server archive of countless movies, shows, and documentaries.  \n\nOn the back wall, there are portholes—just like on the ships of old that sailed the waters—where you can gaze into the dark of space.\n\n""Run into any trouble?"" Salvucci asks as you hand him the bag.\n\n""Didn’t see a damn thing,"" Meat says.\n\n""I’m telling you,"" Strauss says, rubbing her bandaged arm, ""we won’t see it until it wants us to see it.""\n\nMeat grumbles something about paranoia and then heads over to the table, where Neil is setting up a checkers board.\n\n""How’s your arm, doctor?"" Salvucci asks.\n\n""Fine, captain. Thank you.""\n\nYou feel tired.\n\nWhat should you do?\n\n1. [[Talk to Meat and Neil]]\n2. [[Go to sleep.]]\n"
"""Nothing to be done about it, I guess.""","He shrugs his shoulders. ""I guess so.""\n\nYou both return to your group of friends to find that Neil is mooning the barkeep.\n\nWeeks pass. One day you see a report about Earth destructing. ""An issue with the core,"" says the handsome anchor. No one mentions monsters. No mentions nukes or fleets of war crusiers. It stirkes you that no one will ever know the sacrifices of you or your crew. You weep and Jessica asks what's wrong.\n\nYou lie. Just as you do when she asks you about the augmentations--the very ones she installed. ""Accident in the cryotube,"" you tell her. You're so wracked with guilt over these lies that you make it a priority to never lie to her about anything. For the most part, your relationship is one built on trust.\n\nThree years after your return to Mars you're married. It's a simple ceremony. Your parents show up, as do the surviving members of your crew. You eat cake. You kiss.\n\nYou move in with Jessica even though her apartment is smaller than yours. You just love the view of the Martian landscape and Jessica, quite content not to move anything, is more than happy to oblige you.\n\nOne day you catch a glimpse of light reflecting off the glass window of the balcony. You step onto the balcony and look out across the red canyons of your planet just to take in the beauty of it all. This is your new life, you tell youself. You've earned every second of it.\n             \nThe End\n\n"
"""I'm so sorry, Neil.""","You make your way to the vent where Meat has just finished prying off the cover. The gas is thick in the air, making you slightly dizzy.\n\n""Tight fit,"" he says. ""I’ll go first so I can remove the next cover.""\n\nYou look back to see that multiple tentacles have penetrated the door. Neil is pointing the pistol in the air and is breathing hard.\n\nYou force down the feeling of despair in your stomach and crawl through the vent. When you catch up to Meat, he’s already kicking a cover.\n\n""Almost got it!"" With one last kick, the cover comes free. You emerge into the hallway just in time to feel the ship shake violently.\n\nMeat slams his fist into the wall over and over. \n\n1. [[Put your hand on his shoulder.]]\n2. [[Don't.]]"
"""It doesn't at all.""","""Right?  What a horrible thing to do.""\n\nYou both return to your group of friends to find that Neil is mooning the barkeep.\n\nWeeks pass. One day you see a report about Earth mysteriously self-destructing .""An issue with the core,""  says the handsome anchor. No one mentions monsters. No mentions of nukes or fleets of war crusiers. It stirkes you that no one will ever know the sacrifices of you or your crew. You weep and Michelle asks what's wrong.\n\nYou lie. Just as you do when she asks you about the augmentations. Accident in the cryotube, you tell her. You're so wracked with guilt over these lies that you make it a priority to never lie to her about anything else. For the most part, your relationship is one built on trust.\n\nThree years after your return to Mars you're married. It's a simple ceremony. Your parents show up, as do the surviving members of your crew. You eat cake. You kiss.\n\nMichelle moves in with you. You live a comfortable life together. She starts talking about children and you make efforts to put off that conversation for as long as possible.\n\nOne day, the two of you take a trip to the recently terraformed beach. There's a moment where you're looking out across the manufactured ocean of Mars, wondering what lies ahead for you.\n\nYou know the ocean is fake, but you can't help but admire its beauty. This is your new life, you tell youself. It's one you've made for yourself, and you've earned every second of it.\n             \nThe End\n\n"
